Stemmed User Reviews,Labels
"[('plot', 'NN'), ('plot', 'NN'), ('nt', 'NNS'), ('care', 'NN')]",0
"[('nt', 'JJ'), ('miss', 'JJ'), ('comedi', 'NN'), ('like', 'IN')]",1
"[('utterli', 'JJ'), ('ridicul', 'NN'), ('s', 'JJ'), ('whole', 'JJ'), ('point', 'NN')]",0
"[('someon', 'NN'), ('found', 'VBD'), ('fountain', 'RB'), ('youth', 'RB'), ('dous', 'JJ'), ('babi', 'NN'), ('caus', 'NN'), ('sure', 'JJ'), ('ai', 'VBP'), ('nt', 'JJ'), ('get', 'NN'), ('old', 'JJ')]",0
"[('quit', 'NN'), ('possibl', 'NN'), ('john', 'NN'), ('landi', 'NN'), ('s', 'NN'), ('best', 'RBS'), ('film', 'NN')]",1
"[('take', 'VB'), ('long', 'JJ'), ('watch', 'NN')]",1
"[('classic', 'JJ')]",1
"[('nitro', 'RB'), ('glycerin', 'NN')]",0
"[('true', 'JJ'), ('classic', 'JJ'), ('comedi', 'NN'), ('way', 'NN'), ('funni', 'NN')]",1
"[('s', 'NNS'), ('real', 'JJ')]",0
"[('movi', 'NN'), ('like', 'IN'), ('ever', 'RB'), ('made', 'VBN'), ('perman', 'NN'), ('classic', 'JJ')]",1
"[('blue', 'JJ'), ('brother', 'NN'), ('god', 'NN'), ('s', 'VBZ'), ('servic', 'JJ'), ('cop', 'NN'), ('neonazi', 'NN')]",1
"[('hell', 'NN'), ('blue', 'VBZ'), ('brother', 'IN'), ('the', 'DT'), ('top', 'JJ'), ('250', 'CD')]",1
"[('smile', 'NN'), ('almost', 'RB'), ('time', 'NN')]",1
"[('one', 'CD'), ('blue', 'NN'), ('brother', 'NN')]",1
"[('great', 'JJ'), ('music', 'NN'), ('peopl', 'NN'), ('nt', 'IN'), ('like', 'IN'), ('music', 'NN')]",0
"[('wild', 'JJ'), ('music', 'NN'), ('comedi', 'NN'), ('offer', 'NN'), ('longlast', 'NN'), ('fun', 'NN'), ('excit', 'NN')]",1
"[('re', 'JJ'), ('mission', 'NN'), ('god', 'NN')]",0
"[('critiqu', 'NN'), ('critic', 'NN')]",1
"[('wild', 'JJ'), ('crazi', 'NNS'), ('ride', 'VBP')]",0
"[('eccentr', 'NN'), ('cult', 'NN'), ('classic', 'JJ')]",1
"[('blame', 'NN'), ('penguin', 'NN')]",0
"[('run', 'VB'), ('blockbust', 'RB'), ('check', 'VB')]",1
"[('face', 'NN'), ('noth', 'DT'), ('worri', 'NN')]",0
"[('fun', 'NN'), ('entertain', 'NN'), ('comedi', 'NN'), ('noisi', 'JJ'), ('action', 'NN'), ('nostalg', 'NN'), ('team', 'NN')]",1
"[('need', 'NN'), ('sequel', 'NN'), ('movi', 'VB'), ('surviv', 'JJ'), ('time', 'NN'), ('test', 'NN'), ('joy', 'NN'), ('watch', 'NN'), ('even', 'RB'), ('year', 'NN')]",1
"[('best', 'JJS'), ('film', 'NN'), ('could', 'MD'), ('ask', 'VB'), ('ateam', 'RP'), ('adapt', 'NN')]",1
"[('love', 'VB'), ('movi', 'NN'), ('come', 'VB'), ('togeth', 'NN')]",1
"[('ateam', 'NN')]",1
"[('overblown', 'JJ'), ('superexagger', 'NN'), ('trash', 'NN'), ('love', 'NN'), ('everi', 'NN'), ('minut', 'NN')]",1
"[('solidli', 'NN'), ('entertain', 'NN'), ('action', 'NN'), ('movi', 'FW'), ('nt', 'JJ'), ('think', 'VBP'), ('hard', 'JJ'), ('plausibl', 'NN')]",1
"[('piti', 'JJ'), ('fool', 'NN'), ('nt', 'NN'), ('enjoy', 'NN'), ('film', 'NN')]",1
"[('cteam', 'NN')]",0
"[('bang', 'NN')]",0
"[('ridicul', 'NN'), ('action', 'NN'), ('get', 'VB'), ('tiresom', 'NN')]",-1
"[('ateam', 'NN'), ('1000', 'CD'), ('word', 'NN'), ('overkil', 'NN'), ('underr', 'NN')]",1
"[('definit', 'NN'), ('dumb', 'JJ'), ('summer', 'NN'), ('fun', 'NN')]",1
"[('bad', 'JJ'), ('nt', 'JJ'), ('success', 'NN'), ('enough', 'JJ'), ('warrrant', 'NN'), ('sequel', 'NN')]",1
"[('ateam', 'RB'), ('good', 'JJ'), ('bmovi', 'NN')]",1
"[('miss', 'NN'), ('goofbal', 'NN'), ('charm', 'NN')]",0
"[('film', 'NN'), ('well', 'RB'), ('worth', 'JJ'), ('watch', 'NN')]",1
"[('enjoy', 'JJ'), ('reboot', 'NN'), ('classic', 'JJ'), ('80', 'CD'), ('tv', 'NN'), ('seri', 'NN')]",1
"[('love', 'NN'), ('plan', 'NN'), ('come', 'VBP'), ('togeth', 'JJ'), ('simpl', 'NN'), ('short', 'JJ'), ('review', 'NN')]",1
"[('ateam', 'NN')]",0
"[('4', 'CD'), ('charasmat', 'JJ'), ('lead', 'NN'), ('good', 'JJ'), ('chemistri', 'NN'), ('servic', 'NN'), ('noisi', 'NN'), ('bloat', 'NN'), ('mess', 'NN'), ('movi', 'NN')]",0
"[('like', 'IN'), ('dteam', 'NN')]",-1
"[('fool', 'NN'), ('fli', 'NN'), ('fall', 'NN'), ('tank', 'NN')]",0
"[('circl', 'NN'), ('quit', 'NN'), ('golden', 'JJ'), ('nt', 'NN'), ('collaps', 'NNS')]",0
"[('long', 'RB'), ('bore', 'RB'), ('overr', 'NN')]",-1
"[('silli', 'NN'), ('sequel', 'NN'), ('10', 'CD'), ('top', 'JJ'), ('reason', 'NN'), ('watch', 'NN'), ('crap', 'NN')]",-1
"[('fun', 'NN'), ('feel', 'VBP'), ('like', 'IN'), ('fifth', 'NN'), ('film', 'NN'), ('franchis', 'NN'), ('struggl', 'NN'), ('maintain', 'VBP'), ('relev', 'NN'), ('followup', 'NN'), ('perhap', 'NN'), ('promis', 'VBP'), ('new', 'JJ'), ('properti', 'NN'), ('hollywood', 'NN')]",-1
"[('matthew', 'NN'), ('maketh', 'NNS'), ('mess', 'NN')]",-1
"[('great', 'JJ'), ('cast', 'NN'), ('pretti', 'NN'), ('aw', 'NN'), ('movi', 'NN')]",-1
"[('satir', 'NN'), ('spi', 'JJ'), ('action', 'NN'), ('hijink', 'NN')]",-1
"[('hyperbol', 'NN'), ('brandadvertis', 'NN'), ('inordin', 'NN'), ('smug', 'NN'), ('hotchpotch', 'NN'), ('halfbak', 'NN'), ('cash', 'NN'), ('cow', 'NN')]",-1
"[('much', 'JJ'), ('cgi', 'NN'), ('annoy', 'NN'), ('joke', 'NN')]",-1
"[('entertain', 'RB'), ('never', 'RB'), ('quit', 'VB'), ('reach', 'NN'), ('height', 'NN'), ('predecessor', 'NN')]",0
"[('disappoint', 'NN')]",-1
"[('good', 'JJ'), ('origin', 'NN'), ('still', 'RB'), ('entertain', 'VB')]",0
"[('foul', 'JJ'), ('witless', 'NN'), ('trivial', 'JJ'), ('overblown', 'JJ'), ('dumb', 'NN'), ('bore', 'NN'), ('rot', 'NN'), ('piffal', 'NN')]",-1
"[('take', 'VB'), ('low', 'JJ'), ('road', 'NN')]",-1
"[('nt', 'JJ'), ('get', 'NN'), ('wors', 'NNS')]",-1
"[('solid', 'JJ'), ('followup', 'NN'), ('2015', 'CD'), ('film', 'NN')]",0
"[('lame', 'NN'), ('forc', 'NN'), ('comedi', 'NN'), ('fill', 'NN'), ('instantli', 'VBP'), ('forgett', 'NN'), ('sequel', 'NN')]",-1
"[('bummer', 'NN')]",-1
"[('kingsman', 'NN'), ('golden', 'JJ'), ('circl', 'NN'), ('stuff', 'NN'), ('good', 'JJ')]",-1
"[('lesser', 'JJR'), ('sequel', 'NN')]",-1
"[('feel', 'NN'), ('like', 'IN'), ('tornado', 'NN'), ('trailer', 'NN'), ('park', 'NN')]",-1
"[('overlong', 'RB'), ('flashi', 'JJ'), ('cgi', 'NN'), ('driven', 'VBN'), ('nonsens', 'NNS')]",-1
"[('rubbish', 'NN')]",-1
"[('feel', 'VB'), ('good', 'JJ'), ('comedi', 'NN'), ('spi', 'NN'), ('film', 'NN'), ('lot', 'NN'), ('adventur', 'NN')]",1
"[('kingsman', 'NN'), ('golden', 'JJ'), ('circl', 'NN')]",0
"[('rather', 'RB'), ('enjoy', 'NN')]",1
"[('surprisingli', 'NN'), ('s', 'NN'), ('bad', 'JJ'), ('guy', 'NN')]",0
"[('one', 'CD'), ('best', 'JJS'), ('anim', 'NN'), ('experi', 'NN')]",1
"[('fun', 'NN'), ('entir', 'NN'), ('fam', 'NN')]",1
"[('anim', 'NN'), ('gem', 'NN')]",1
"[('bad', 'JJ'), ('guy', 'NN'), ('taught', 'VBD'), ('us', 'PRP'), ('one', 'CD'), ('thing', 'NN'), ('never', 'RB'), ('judg', 'NN'), ('film', 'NN'), ('trailerpost', 'NN')]",1
"[('deserv', 'NN'), ('dreamwork', 'NN'), ('next', 'JJ'), ('big', 'JJ'), ('franchis', 'NN')]",1
"[('fun', 'NN'), ('charact', 'NN'), ('driven', 'VBN'), ('movi', 'JJ'), ('work', 'NN'), ('even', 'RB'), ('fault', 'VBD'), ('definit', 'NN')]",1
"[('better', 'RBR'), ('cake', 'NN')]",1
"[('surprisingli', 'RB'), ('good', 'JJ')]",1
"[('bad', 'JJ'), ('guy', 'NN'), ('good', 'JJ')]",1
"[('actual', 'JJ'), ('one', 'CD')]",0
"[('overnight', 'JJ'), ('viral', 'JJ'), ('sensat', 'NN')]",1
"[('return', 'NN'), ('form', 'NN'), ('dreamwork', 'NN')]",1
"[('style', 'NN')]",1
"[('fun', 'NN'), ('action', 'NN'), ('laugh', 'IN'), ('lot', 'NN'), ('crime', 'NN'), ('film', 'NN'), ('homag', 'NN')]",1
"[('great', 'JJ'), ('anim', 'NN'), ('movi', 'NN')]",1
"[('bad', 'JJ'), ('bad', 'JJ'), ('guy', 'NN')]",1
"[('knew', 'RB'), ('good', 'JJ')]",1
"[('fun', 'NN')]",1
"[('listen', 'JJ'), ('m', 'NN'), ('51', 'CD'), ('year', 'NN'), ('old', 'JJ'), ('male', 'NN')]",0
"[('predictableclich', 'JJ'), ('watchabl', 'NN')]",0
"[('bad', 'JJ'), ('get', 'NN')]",1
"[('bad', 'JJ'), ('guy', 'NN'), ('rob', 'NN'), ('box', 'NN'), ('offic', 'JJ'), ('best', 'RB'), ('bad', 'JJ'), ('guy', 'NN'), ('know', 'VBP'), ('m', 'NNS'), ('say', 'VBP')]",1
"[('love', 'NN'), ('film', 'NN'), ('great', 'JJ'), ('famili', 'NN'), ('film', 'NN')]",1
"[('mainstream', 'NN'), ('comedi', 'NN'), ('done', 'VBN'), ('right', 'NN')]",1
"[('movi', 'RB'), ('review', 'NN'), ('game', 'NN'), ('night', 'NN')]",0
"[('better', 'RBR'), ('funnier', 'NN'), ('thought', 'VBN'), ('would', 'MD'), ('let', 'VB'), ('s', 'JJ'), ('game', 'NN'), ('night', 'NN')]",1
"[('win', 'NN'), ('comedi', 'NN')]",1
"[('classic', 'JJ'), ('comedi', 'NN'), ('thriller', 'NN'), ('brilliant', 'JJ'), ('dialogu', 'NN'), ('memor', 'NN'), ('charact', 'NN')]",1
"[('entertain', 'NN'), ('averag', 'RB'), ('board', 'NN'), ('game', 'NN')]",1
"[('movi', 'NN'), ('play', 'VB'), ('card', 'RB'), ('right', 'JJ')]",1
"[('funni', 'NN'), ('funni', 'NN'), ('movi', 'NN'), ('rachel', 'NN'), ('mcadam', 'NN'), ('great', 'JJ')]",1
"[('small', 'JJ'), ('surpris', 'NN')]",1
"[('legitim', 'NN'), ('hilari', 'NN'), ('comedi', 'NN'), ('surprisingli', 'NN'), ('strong', 'JJ'), ('peripher', 'RB'), ('plot', 'NN'), ('game', 'NN'), ('night', 'NN'), ('way', 'NN'), ('much', 'JJ'), ('fun', 'NN'), ('love', 'NN')]",1
"[('vulgar', 'NN'), ('violent', 'NN'), ('solidli', 'NN'), ('rrate', 'NN'), ('comedi', 'NN'), ('nevertheless', 'RB'), ('sophist', 'JJ'), ('rather', 'RB'), ('gross', 'JJ')]",1
"[('could', 'MD'), ('nt', 'VB'), ('stop', 'VB'), ('laugh', 'NN')]",1
"[('surprisingli', 'NN'), ('funni', 'NN')]",1
"[('game', 'NN'), ('set', 'VBN'), ('match', 'NN')]",1
"[('fun', 'NN'), ('film', 'NN')]",1
"[('amus', 'NN'), ('adultsonli', 'NN'), ('comedi', 'NN'), ('game', 'NN'), ('changer', 'NN')]",1
"[('fun', 'NN'), ('time', 'NN'), ('genuin', 'JJ'), ('funni', 'JJ'), ('alway', 'NN'), ('entertain', 'NN')]",1
"[('nt', 'RB'), ('listen', 'JJ'), ('bad', 'JJ'), ('review', 'NN'), ('pretti', 'NN'), ('good', 'JJ'), ('comedi', 'NN')]",1
"[('game', 'NN'), ('night', 'NN'), ('winner', 'NN')]",1
"[('hilari', 'NN'), ('stupid', 'JJ'), ('lot', 'NN'), ('fun', 'NN')]",1
"[('jason', 'NN'), ('bateman', 'NN'), ('shine', 'NN')]",1
"[('love', 'RB'), ('good', 'JJ'), ('game', 'NN'), ('night', 'NN')]",1
"[('night', 'NN'), ('game', 'NN'), ('one', 'CD'), ('nt', 'NN'), ('want', 'VBP'), ('miss', 'NN')]",1
"[('funni', 'JJ'), ('hint', 'NN'), ('unpredict', 'NN')]",1
"[('hilari', 'NN'), ('watch', 'NN')]",1
"[('fan', 'NN'), ('milli', 'NN'), ('bobbi', 'VBD'), ('brown', 'JJ')]",1
"[('sherlock', 'NN'), ('holm', 'NN'), ('fan', 'NN'), ('bad', 'JJ'), ('either', 'CC')]",0
"[('cute', 'NN'), ('littl', 'NN'), ('movi', 'NN')]",1
"[('perfect', 'JJ'), ('15', 'CD'), ('yro', 'NN'), ('girl', 'NN')]",1
"[('man', 'NN'), ('love', 'VB'), ('movi', 'NN')]",1
"[('could', 'MD'), ('much', 'RB')]",0
"[('fun', 'NN'), ('sweet', 'NN'), ('uplift', 'NN')]",1
"[('oh', 'UH'), ('ironi', 'NN')]",0
"[('target', 'NN'), ('audienc', 'NN')]",-1
"[('charm', 'NN'), ('film', 'NN'), ('good', 'JJ'), ('whole', 'NN'), ('famili', 'NN')]",1
"[('bit', 'NN'), ('lost', 'VBD')]",0
"[('milli', 'NN'), ('bobbi', 'NN'), ('brown', 'IN'), ('solv', 'JJ'), ('dull', 'JJ'), ('mysteri', 'NN'), ('netflix', 'NN'), ('s', 'VBD'), ('disappoint', 'NN'), ('enola', 'NN'), ('holm', 'NN')]",1
"[('famili', 'NN'), ('entertain', 'NN')]",1
"[('s', 'RB'), ('good', 'JJ'), ('famili', 'NN'), ('fun', 'NN'), ('taken', 'VBN'), ('serious', 'JJ')]",1
"[('teen', 'JJ'), ('version', 'NN'), ('guy', 'NN'), ('ritchi', 'NN'), ('genr', 'NN')]",1
"[('pleas', 'NNS'), ('make', 'VBP'), ('sequel', 'NN')]",1
"[('fastpac', 'JJ'), ('forgett', 'NN'), ('addit', 'NN'), ('sherlock', 'NN'), ('cannon', 'NN')]",-1
"[('milli', 'NN'), ('enola', 'NN')]",0
"[('m', 'NNS'), ('woman', 'NN')]",0
"[('one', 'CD'), ('purist', 'NN')]",-1
"[('bit', 'NN'), ('bore', 'NN')]",-1
"[('enola', 'NN'), ('holm', 'NN')]",0
"[('fun', 'NN'), ('famili', 'NN'), ('fandom', 'NN')]",1
"[('break', 'NN'), ('fourth', 'JJ'), ('wall', 'NN'), ('femin', 'NN')]",1
"[('rate', 'NN'), ('higher', 'JJR')]",1
"[('sure', 'JJ'), ('fan', 'NN'), ('favorit', 'NN'), ('full', 'JJ'), ('classic', 'JJ'), ('crime', 'NN'), ('fight', 'NN'), ('battl', 'RB'), ('well', 'RB'), ('heartfelt', 'VB'), ('messag', 'NN')]",1
"[('recent', 'JJ'), ('turn', 'NN'), ('30', 'CD'), ('day', 'NN'), ('ago', 'IN'), ('realli', 'NN'), ('enjoy', 'NN'), ('leagu', 'NN'), ('superpet', 'NN')]",1
"[('think', 'VB'), ('adult', 'NN'), ('like', 'IN')]",1
"[('keep', 'VB'), ('mind', 'NN'), ('s', 'JJ'), ('adult', 'NN'), ('great', 'JJ'), ('children', 'NNS'), ('s', 'VBP'), ('film', 'NN')]",1
"[('surprisingli', 'NN'), ('compet', 'NN'), ('charm', 'NN')]",1
"[('multipaw', 'NN')]",1
"[('lot', 'NN'), ('fun', 'NN')]",1
"[('superpet', 'NN'), ('review', 'NN'), ('surpris', 'NN')]",1
"[('fun', 'NN'), ('movi', 'NNS'), ('watch', 'VBP')]",1
"[('famili', 'NN'), ('s', 'NN'), ('best', 'JJS'), ('friend', 'NN'), ('fun', 'NN'), ('movi', 'NN'), ('go', 'VBP')]",1
"[('would', 'MD'), ('expect', 'VB')]",1
"[('dcu', 'NN')]",1
"[('fun', 'NN'), ('cute', 'NN')]",1
"[('one', 'CD'), ('best', 'JJS'), ('dc', 'NN'), ('film', 'NN'), ('ever', 'RB')]",1
"[('secret', 'JJ'), ('live', 'VBP'), ('pet', 'JJ'), ('get', 'VB'), ('mix', 'JJ'), ('dc', 'NN'), ('univers', 'NNS')]",1
"[('funni', 'NN'), ('hell', 'NN')]",1
"[('pet', 'JJ'), ('take', 'VB'), ('hero', 'NN')]",1
"[('fun', 'NN'), ('adult', 'NN'), ('well', 'RB'), ('kid', 'VB')]",1
"[('m', 'JJ'), ('sure', 'JJ'), ('guinea', 'NN'), ('pig', 'NN'), ('could', 'MD'), ('make', 'VB'), ('anyon', 'NN')]",0
"[('much', 'JJ'), ('love', 'NN'), ('superpet', 'NN')]",1
"[('weak', 'JJ')]",-1
"[('fun', 'NN'), ('film', 'NN'), ('great', 'JJ'), ('time', 'NN')]",1
"[('dc', 'NN'), ('stirk', 'NN')]",1
"[('krypto', 'NN'), ('movi', 'NNS'), ('need', 'VBP'), ('made', 'VBN')]",1
"[('big', 'JJ'), ('laugh', 'NN'), ('big', 'JJ'), ('fun', 'NN'), ('lot', 'NN'), ('heart', 'NN'), ('poor', 'JJ'), ('man', 'NN'), ('s', 'NN'), ('secret', 'JJ'), ('life', 'NN'), ('pet', 'NN')]",1
"[('ca', 'MD'), ('nt', 'VB'), ('find', 'VB'), ('wow', 'JJ'), ('factor', 'NN')]",-1
"[('big', 'JJ'), ('giant', 'NN'), ('mess', 'NN')]",-1
"[('mess', 'NN')]",-1
"[('410', 'CD')]",-1
"[('caricatur', 'NN'), ('movi', 'NN')]",-1
"[('disappear', 'JJ'), ('mind', 'NN'), ('soon', 'RB'), ('s', 'VBD')]",-1
"[('term', 'NN'), ('plot', 'NN'), ('complet', 'NN'), ('mess', 'NN')]",-1
"[('unbeliev', 'RB'), ('good', 'JJ'), ('way', 'NN')]",-1
"[('miss', 'NN'), ('magic', 'NN'), ('first', 'RB'), ('still', 'RB'), ('entertain', 'VB')]",0
"[('good', 'JJ'), ('sequel', 'NN'), ('full', 'JJ'), ('twist', 'NN'), ('fun', 'NN')]",1
"[('cheaper', 'JJR'), ('way', 'NN'), ('get', 'VB'), ('sleep', 'JJ')]",-1
"[('disappoint', 'NN')]",-1
"[('plastic', 'NN'), ('fantast', 'NN'), ('bore', 'NN'), ('unbeliev', 'NN')]",-1
"[('love', 'NN')]",1
"[('review', 'NN'), ('fake', 'VBP'), ('big', 'JJ'), ('name', 'NN'), ('nt', 'NN'), ('help', 'NN'), ('bad', 'JJ'), ('movi', 'NN')]",-1
"[('go', 'VB'), ('show', 'NN'), ('peopl', 'RB'), ('never', 'RB'), ('forget', 'VB')]",1
"[('throw', 'VB'), ('logic', 'JJ'), ('realism', 'NN')]",-1
"[('autist', 'JJ'), ('review', 'NN'), ('opinion', 'NN'), ('movi', 'NN')]",-1
"[('good', 'JJ'), ('first', 'RB'), ('one', 'CD'), ('good', 'JJ'), ('enough', 'RB')]",0
"[('dull', 'NN'), ('cheap', 'NN'), ('near', 'IN'), ('prequel', 'NN')]",-1
"[('spoilerfre', 'NN'), ('review', 'NN')]",0
"[('inarticul', 'NN')]",-1
"[('see', 'VB'), ('2', 'CD')]",0
"[('see', 'VB'), ('2', 'CD'), ('review', 'NN'), ('cash', 'NN'), ('grab', 'NN')]",-1
"[('nysm2', 'RB'), ('liter', 'JJ'), ('fatal', 'JJ'), ('misdirect', 'NN'), ('littl', 'JJ'), ('way', 'NN'), ('fresh', 'JJ'), ('excit', 'NN')]",-1
"[('hardcor', 'NN'), ('comedi', 'NN'), ('adult', 'NN')]",0
"[('sicken', 'JJ'), ('deprav', 'NN'), ('disgust', 'NN'), ('hilari', 'NN')]",0
"[('mix', 'NN'), ('bag', 'NN'), ('outrag', 'NN'), ('humor', 'NN')]",0
"[('pueril', 'NN'), ('comedi', 'NN'), ('slapstick', 'NN'), ('love', 'NN')]",1
"[('man', 'NN'), ('know', 'VBP'), ('funni', 'NN')]",1
"[('nonstop', 'JJ'), ('gag', 'NN')]",1
"[('either', 'DT'), ('rais', 'NN'), ('lower', 'JJR'), ('bar', 'NN'), ('filth', 'NN')]",0
"[('scene', 'NN'), ('movi', 'NN'), ('never', 'RB'), ('unse', 'NN'), ('said', 'VBD'), ('realli', 'JJ'), ('realli', 'NN'), ('enjoy', 'NN'), ('recommend', 'NN')]",1
"[('liam', 'NN'), ('gallagh', 'NN'), ('s', 'NN'), ('best', 'JJS'), ('role', 'NN'), ('date', 'NN')]",1
"[('grimsbi', 'NN'), ('funni', 'VBZ'), ('one', 'CD')]",1
"[('incred', 'VBN'), ('raunchi', 'NNS'), ('silli', 'VBP'), ('yet', 'RB'), ('laugh', 'JJ'), ('time', 'NN')]",1
"[('laugh', 'RB'), ('much', 'JJ'), ('cinema', 'NN'), ('sinc', 'NN'), ('parol', 'NN'), ('offic', 'NN')]",1
"[('love', 'NN'), ('hate', 'NN')]",0
"[('spi', 'NN'), ('satir', 'NN'), ('gamestyl', 'NN'), ('stori', 'NN')]",1
"[('take', 'VB'), ('gross', 'JJ'), ('new', 'JJ'), ('depth', 'NN')]",-1
"[('grim', 'JJ'), ('good', 'JJ')]",1
"[('s', 'JJ'), ('noth', 'DT'), ('grim', 'JJ'), ('grimsbi', 'NN')]",0
"[('funniest', 'JJS'), ('move', 'NN'), ('year', 'NN'), ('kill', 'RB'), ('bad', 'JJ'), ('market', 'NN'), ('poor', 'JJ'), ('studio', 'NN'), ('choic', 'NN')]",1
"[('first', 'RB'), ('ll', 'JJ'), ('rub', 'NN'), ('eye', 'NN'), ('ll', 'VBP'), ('need', 'NN'), ('wash', 'NN')]",-1
"[('happen', 'VB'), ('oncebrav', 'NN'), ('comedian', 'JJ'), ('conform', 'NN'), ('mainstream', 'NN'), ('standard', 'NN')]",-1
"[('s', 'NN'), ('bonker', 'NN')]",-1
"[('clumsi', 'NN'), ('rude', 'NN'), ('funni', 'NN')]",0
"[('ye', 'NN'), ('stupid', 'JJ'), ('funni', 'NN')]",0
"[('atroci', 'NNS'), ('everi', 'VBP'), ('way', 'NN')]",-1
"[('excel', 'NN'), ('gut', 'NN'), ('bust', 'NN'), ('humor', 'NN'), ('sensit', 'NN'), ('folk', 'NN'), ('stick', 'NN'), ('pg', 'JJ'), ('pc', 'NN')]",1
